Agency Code,Agency Name,GEOID
13582,Belleflower Police,
13585,Mount Zion Police,1600000US1751206
13586,Maroa Police,1600000US1747072
13587,Macon County Sheriff,
13588,Decatur Police,1600000US1718823
13589,Decatur Park District Police,
13590,Blue Mound Police,1600000US1706756
13591,Argenta Police,1600000US1701972
13592,Brighton Police,1600000US1708264
13593,Virden Police,1600000US1778149
13594,Staunton Police,1600000US1772403
13595,Palmyra Police,1600000US1757329
13596,Mount Olive Police,1600000US1751024
13597,Macoupin County Sheriff,
13598,Girard Police,1600000US1729392
13599,Gillespie Police,1600000US1729236
13600,Chesterfield Police,1600000US1713165
13601,Carlinville Police,1600000US1711202
13602,Bunker Hill Police,1600000US1709577
13603,Benld Police,1600000US1705209
13604,Wilsonville Police,1600000US1782218
13605,Wood River Police,1600000US1783271
13606,Venice Police,1600000US1777473
13607,Troy Police,1600000US1776199
13608,St. Jacob Police,1600000US1766859
13609,Southern Illinois University Edwardsville Police,
13610,South Roxanna Police,
13611,Roxana Police,1600000US1766131
13612,Maryville Police,1600000US1747397
13613,Marine Police,1600000US1746864
13614,Madison Police,1600000US1745993
13615,Madison County Sheriff,
13616,Livingston Police,1600000US1744160
13617,Highland Police,1600000US1734670
13618,Hartford Police,1600000US1733279
13619,Hamel Police,1600000US1732408
13620,Granite City Police,1600000US1730926
13621,Glen Carbon Police,1600000US1729639
13622,Edwardsville Police,1600000US1722697
13623,East Alton Police,1600000US1721553
13624,Collinsville Police,1600000US1715599
13625,Bethalto Police,1600000US1705599
13626,Alton Police,1600000US1701114
13627,Sandoval Police,1600000US1767444
13628,Salem Police,1600000US1767236
13629,Patoka Police,1600000US1758057
13630,Marion County Sheriff,
13631,Kinmundy Police,1600000US1740117
13632,Junction City Police,1600000US1738791
13633,Centralia Police,1600000US1712164
13634,Central City Police,1600000US1712151
13635,Wenona Police,1600000US1779813
13636,Toluca Police,1600000US1775653
13637,Marshall County Sheriff,
13638,Lacon Police,1600000US1740559
13639,Henry Police,1600000US1734163
13640,San Jose Police,1600000US1767613
13641,Mason County Sheriff,
13642,Mason City Police,1600000US1747475
13643,Manito Police,1600000US1746383
13644,Kilbourne Police,1600000US1739857
13645,Havana Police,1600000US1733513
13646,Forest City Police,1600000US1726753
13647,Easton Police,1600000US1722151
13648,Bath Police,1600000US1704156
13649,Metropolis Police,1600000US1748645
13650,Massac County Sheriff,
13651,Joppa Police,1600000US1738674
13652,Brookport Police,1600000US1708706
13653,Petersburg Police,1600000US1759312
13654,Menard County Sheriff,
13655,Greenview Police,1600000US1731576
13656,Athens Police,1600000US1702674
13657,Viola Police,1600000US1778123
13658,Sherrard Police,1600000US1769368
13659,New Windsor Police,
13660,New Boston Police,1600000US1752220
13661,Mercer County Sheriff,
13662,Joy Police,1600000US1738739
13663,Alexis Police,1600000US1700672
13664,Aledo Police,1600000US1700646
13665,Keithsburg Police,1600000US1739298
13666,Waterloo Police,1600000US1779150
13667,Valmeyer Police,1600000US1777265
13668,Monroe County Sheriff,
13670,Columbia Police,1600000US1715833
13671,Witt Police,1600000US1782725
13672,Nokomis Police,1600000US1753169
13673,Montgomery County Sheriff,
13674,Litchfield Police,1600000US1743965
13675,Irving Police,1600000US1737738
13676,Hillsboro Police,1600000US1735047
13679,Coffeen Police,1600000US1715352
13681,Panama Police,1600000US1757498
13682,Raymond Police,1600000US1762965
13683,Taylor Springs Police,1600000US1774561
13684,Waverly Police,1600000US1779358
13685,South Jacksonville Police,1600000US1770889
13686,Morgan County Sheriff,
13687,Jacksonville Police,1600000US1738115
13688,Chapin Police,1600000US1712528
13689,Meredosia Police,1600000US1748424
13690,Murrayville Police,1600000US1751479
13691,Woodson Police,1600000US1783336
13692,Sullivan Police,1600000US1773495
13693,Moultrie County Sheriff,
13694,Lovington Police,1600000US1745044
13695,Bethany Police,1600000US1705612
13696,Rochelle Police,1600000US1764746
13697,Polo Police,1600000US1760937
13698,Oregon Police,1600000US1756484
13699,Ogle County Sheriff,
13700,Mount Morris Police,1600000US1750998
13701,Leaf River Police,1600000US1742457
13702,Forreston Police,1600000US1727065
13703,Byron Police,1600000US1710240
13704,Peoria Police,1600000US1759000
13705,Peoria Park District Police,
13706,Peoria Heights Police,1600000US1759026
13707,Peoria County Sheriff,
13708,Glasford Police,1600000US1729483
13709,Elmwood Police,1600000US1723698
13710,Chillicothe Police,1600000US1714117
13711,Bradley University Police,
13712,Bartonville Police,1600000US1704039
13713,Pinckneyville Police,1600000US1759884
13714,Perry County Sheriff,
13715,Duquoin Police,
13716,Piatt County Sheriff,
13717,Monticello Police,1600000US1750244
13718,Mansfield Police,1600000US1746487
13719,Cerro Gordo Police,1600000US1712268
13720,Bement Police,1600000US1705144
13722,Pittsfield Police,1600000US1760222
13723,Pike County Sheriff,
13725,Barry Police,1600000US1703948
13726,Pleasant Hill Police,1600000US1760534
13727,Pope County Sheriff,
13729,Pulaski County Sheriff,
13730,Mounds Police,1600000US1750777
13731,Mound City Police,1600000US1750751
13732,Karnak Police,1600000US1739077
13733,Ullin Police,1600000US1776615
13734,Olmsted Police,1600000US1755899
13735,Pulaski Police,1600000US1762211
13736,Putnam County Sheriff,
13738,Granville Police,1600000US1731017
13739,Mcnabb Police,1600000US1745850
13740,Tilden Police,1600000US1775263
13741,Steeleville Police,1600000US1772468
13742,Sparta Police,1600000US1771448
13743,Ruma Police,1600000US1766287
13744,Red Bud Police,1600000US1763043
13745,Randolph County Sheriff,
13746,Prairie Du Rocher Police,1600000US1761639
13747,Percy Police,1600000US1759104
13748,Evansville Police,1600000US1724608
13749,Ellis Grove Police,1600000US1723503
13750,Coulterville Police,1600000US1716613
13751,Chester Police,1600000US1713139
13752,Baldwin Police,1600000US1703454
13753,Richland County Sheriff,
13754,Olney Police,1600000US1755912
13755,Silvis Police,1600000US1769979
13756,Rock Island Police,1600000US1765078
13757,Rock Island County Sheriff,
13758,Port Byron Police,1600000US1761223
13759,Moline Police,1600000US1749867
13760,Metropolitan Airport Authority,
13761,Milan Police,1600000US1749009
13762,Hillsdale Police,1600000US1735073
13763,Hampton Police,1600000US1732564
13764,East Moline Police,1600000US1722073
13765,Cordova Police,1600000US1716366
13766,Coal Valley Police,1600000US1715235
13770,Washington Park Police,1600000US1779085
13771,Swansea Police,1600000US1774119
13772,St. Clair County Sheriff,
13773,Southwestern Illinois College Police,
13774,Smithton Police,1600000US1770252
13775,Shiloh Police,1600000US1769524
13776,O'Fallon Police,1600000US1755249
13777,New Athens Police,1600000US1752116
13778,Millstadt Police,1600000US1749386
13779,Mascoutah Police,1600000US1747423
13780,Marissa Police,1600000US1746955
13781,Lenzburg Police,1600000US1742860
13782,Lebanon Police,1600000US1742496
13783,Freeburg Police,1600000US1727806
13784,Fayetteville Police,1600000US1725713
13785,Fairview Heights Police,1600000US1725141
13786,Fairmont City Police,1600000US1724933
13787,East St. Louis Police,1600000US1722255
13788,East St. Louis Park District Police,
13789,East Carondelet Police,1600000US1721618
13790,Dupo Police,1600000US1721254
13791,Centreville Police,1600000US1712203
13792,Caseyville Police,1600000US1711644
